ProduktID,Kurztext,Langtext
72,"Compaq iPAQ 3135 Monochrome Pocket PC Bundle","No Description"
73,"Compaq iPAQ 3150 Monochrome Pocket PC","No Description"
74,"Compaq iPAQ 3635 Pocket PC Bundle","No Description"
75,"Compaq iPAQ 3650 Color Pocket PC","No Description"
76,"Compaq iPAQ 3670 Color Pocket PC","No Description"
77,"Compaq iPAQ 3765 Color Pocket PC","No Description"
78,"Compaq iPAQ 3955 Color Pocket PC","No Description"
79,"Compaq iPAQ 3955 Color Pocket PC","No Description"
80,"HP Jornada 420 Palm-Size PC","No Description"
81,"HP Jornada 564","No Description"
82,"HP Jornada 568 Pocket PC","No Description"
83,"HP Jornada 680 Handheld PC","No Description"
84,"HP Jornada 720 Handheld PC","No Description"
85,"HP Jornada 728","No Description"
86,"HP iPAQ 1945 Pocket PC","No Description"
87,"HP iPAQ 2215 Pocket PC","No Description"
88,"HP iPAQ 5455 Pocket PC","No Description"
89,"HP iPaq 5555 Pocket PC","No Description"
90,"Sony Clie PEG-NX60 (Silver) Handheld","No Description"
91,"Sony Clie PEG-NX70V (Silver) Handheld","No Description"
92,"Sony Clie PEG-NX73V Handheld","No Description"
93,"Sony Clie PEG-NX80V (Silver) Handheld","No Description"
94,"Sony Clie PEG-NZ90 Handheld","No Description"
95,"Sony Clie PEG-SJ20 Handheld","No Description"
96,"Sony Clie PEG-SJ22 Handheld","No Description"
97,"Sony Clie PEG-SJ33/UL Handheld - Blue","No Description"
98,"Sony CLIE PEG-T615C/S Handheld (Silver)","No Description"
99,"Sony CLIE PEG-T665C/U Handheld","No Description"
